,block_number,block_timestamp,block_time,rai_redemption_price,rai_balance,rai_balance_usd,threecrv_balance,total_pool_balance
26,13660171,1637524759,2021-11-21 20:59:19,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
27,13661171,1637538723,2021-11-22 00:52:03,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
28,13662171,1637552600,2021-11-22 04:43:20,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
29,13663171,1637566057,2021-11-22 08:27:37,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
30,13664171,1637579577,2021-11-22 12:12:57,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
31,13665171,1637593498,2021-11-22 16:04:58,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
32,13666171,1637607039,2021-11-22 19:50:39,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
33,13667171,1637620277,2021-11-22 23:31:17,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
34,13668171,1637633703,2021-11-23 03:15:03,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
35,13669171,1637647913,2021-11-23 07:11:53,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
36,13670171,1637661081,2021-11-23 10:51:21,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
37,13671171,1637674786,2021-11-23 14:39:46,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
38,13672171,1637688502,2021-11-23 18:28:22,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
39,13673171,1637702451,2021-11-23 22:20:51,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
40,13674171,1637715405,2021-11-24 01:56:45,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
41,13675171,1637729033,2021-11-24 05:43:53,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
42,13676171,1637742426,2021-11-24 09:27:06,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
43,13677171,1637756215,2021-11-24 13:16:55,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
44,13678171,1637770319,2021-11-24 17:11:59,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
45,13679171,1637783761,2021-11-24 20:56:01,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
46,13680171,1637797796,2021-11-25 00:49:56,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
47,13681171,1637811231,2021-11-25 04:33:51,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
48,13682171,1637825230,2021-11-25 08:27:10,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
49,13683171,1637839626,2021-11-25 12:27:06,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
50,13684171,1637852723,2021-11-25 16:05:23,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
51,13685171,1637866475,2021-11-25 19:54:35,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
52,13686171,1637879907,2021-11-25 23:38:27,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
53,13687171,1637894200,2021-11-26 03:36:40,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
54,13688171,1637908047,2021-11-26 07:27:27,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
55,13689171,1637922414,2021-11-26 11:26:54,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
56,13690171,1637935398,2021-11-26 15:03:18,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
57,13691171,1637948750,2021-11-26 18:45:50,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
58,13692171,1637962761,2021-11-26 22:39:21,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
59,13693171,1637976955,2021-11-27 02:35:55,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
60,13694171,1637990107,2021-11-27 06:15:07,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
61,13695171,1638003702,2021-11-27 10:01:42,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
62,13696171,1638017504,2021-11-27 13:51:44,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
63,13697171,1638031471,2021-11-27 17:44:31,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
64,13698171,1638044802,2021-11-27 21:26:42,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
65,13699171,1638058247,2021-11-28 01:10:47,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
66,13700171,1638072543,2021-11-28 05:09:03,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
67,13701171,1638085821,2021-11-28 08:50:21,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
68,13702171,1638099582,2021-11-28 12:39:42,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
69,13703171,1638113090,2021-11-28 16:24:50,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
70,13704171,1638127136,2021-11-28 20:18:56,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
71,13705171,1638141166,2021-11-29 00:12:46,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
72,13706171,1638154997,2021-11-29 04:03:17,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
73,13707171,1638169189,2021-11-29 07:59:49,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
74,13708171,1638183015,2021-11-29 11:50:15,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
75,13709171,1638196650,2021-11-29 15:37:30,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
76,13710171,1638210833,2021-11-29 19:33:53,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
77,13711171,1638224692,2021-11-29 23:24:52,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
78,13712171,1638238501,2021-11-30 03:15:01,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
79,13713171,1638251900,2021-11-30 06:58:20,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
80,13714171,1638267271,2021-11-30 11:14:31,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
81,13715171,1638280862,2021-11-30 15:01:02,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
82,13716171,1638294417,2021-11-30 18:46:57,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
83,13717171,1638307414,2021-11-30 22:23:34,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
84,13718171,1638321568,2021-12-01 02:19:28,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
85,13719171,1638335043,2021-12-01 06:04:03,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
86,13720171,1638349760,2021-12-01 10:09:20,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
87,13721171,1638363081,2021-12-01 13:51:21,3.0277422959479745,16.416341435130576,49.70445130786812,47.76875785335335,97.47320916122146
88,13722171,1638377020,2021-12-01 17:43:40,3.0277422959479745,4575.751622717759,13854.196723855139,13201.049079311128,27055.245803166268
89,13723171,1638390718,2021-12-01 21:31:58,3.0292040377613447,4575.755904006797,13860.898260227703,13201.04230520367,27061.940565431374
90,13724171,1638404296,2021-12-02 01:18:16,3.0292040377613447,4575.755904006797,13860.898260227703,13201.04230520367,27061.940565431374
91,13725171,1638417852,2021-12-02 05:04:12,3.0292040377613447,6887.901847687885,20864.86008871997,13200.704271018856,34065.564359738826
92,13726171,1638431927,2021-12-02 08:58:47,3.0292040377613447,6887.901847687885,20864.86008871997,13200.704271018856,34065.564359738826
93,13727171,1638445614,2021-12-02 12:46:54,3.0292040377613447,6887.901847687885,20864.86008871997,13200.704271018856,34065.564359738826
94,13728171,1638459976,2021-12-02 16:46:16,3.0292040377613447,6887.901847687885,20864.86008871997,13200.704271018856,34065.564359738826
95,13729171,1638473435,2021-12-02 20:30:35,3.0292040377613447,6887.901847687885,20864.86008871997,13200.704271018856,34065.564359738826
96,13730171,1638487350,2021-12-03 00:22:30,3.0292040377613447,8962.328077948016,27148.720401462,19310.296575672106,46459.0169771341
